split_mode,candidate,Scope,Setting,BP,MAE,R²,ME,STD,≤5 mmHg,≤10 mmHg,≤15 mmHg,AAMI,BHS
random_disjoint,personal_profile_code32_no_support,VitalDB,personal_state_zero,DBP,5.776128051877022,0.6358105464950399,-0.8138415363660225,7.348874926448135,51.887019230769226,83.44711538461539,95.75,PASS*,PASS (Grade B)*
random_disjoint,personal_profile_code32_no_support,Overall,train_bp_mean,SBP,10.416317139434442,0.5657813253968991,0.1135265256415803,13.945540904031713,33.40321794246709,59.19185763042418,76.39200390053632,FAIL*,FAIL (Grade D)*
random_disjoint,personal_profile_code32_no_support,Overall,train_bp_mean,DBP,5.542326514491914,0.6433196986938153,0.0458869434925825,7.660477023560255,57.56216479765968,84.82081911262799,94.76352998537298,PASS*,PASS (Grade B)*
random_disjoint,personal_profile_code32_no_support,MIMIC,train_bp_mean,SBP,9.97267288487224,0.6520447455452896,0.084294355186817,13.424957269130385,35.26953511374876,61.63204747774481,78.00445103857567,FAIL*,FAIL (Grade D)*
random_disjoint,personal_profile_code32_no_support,MIMIC,train_bp_mean,DBP,5.220253948783308,0.6857787539975734,-0.0190467398197313,7.453145206303458,61.14490603363007,86.9238377843719,95.37833827893176,PASS*,PASS (Grade A)*
random_disjoint,personal_profile_code32_no_support,VitalDB,train_bp_mean,SBP,10.847590544590584,0.4194175935389052,0.141943568266355,14.433726273124442,31.588942307692307,56.81971153846154,74.82451923076923,FAIL*,FAIL (Grade D)*
random_disjoint,personal_profile_code32_no_support,VitalDB,train_bp_mean,DBP,5.855418210579799,0.5887385432259472,0.1090099760202261,7.856359884630059,54.07932692307692,82.7764423076923,94.1658653846154,PASS*,PASS (Grade B)*
random_disjoint,personal_profile_code32_no_support,Overall,train_bp_median,SBP,10.278189340979225,0.5510750457048257,-0.4092827991762723,14.174292879977072,35.99707459775719,61.18356899073623,76.92710872745002,FAIL*,FAIL (Grade D)*
random_disjoint,personal_profile_code32_no_support,Overall,train_bp_median,DBP,5.447111583511635,0.6305238096867197,-0.4923302151295454,7.781255938368404,59.70624085811799,84.96708922476842,94.3539736713798,PASS*,PASS (Grade B)*
random_disjoint,personal_profile_code32_no_support,MIMIC,train_bp_median,SBP,9.833359068956383,0.6380172088860823,-0.1620954809745388,13.69220219389338,37.95746785361029,63.691889218595456,78.56577645895153,FAIL*,FAIL (Grade D)*
random_disjoint,personal_profile_code32_no_support,MIMIC,train_bp_median,DBP,5.101841965863071,0.6699662938253388,-0.6697115211883001,7.608983119924324,63.72156280909989,87.11424332344212,95.0049455984174,PASS*,PASS (Grade A)*
random_disjoint,personal_profile_code32_no_support,VitalDB,train_bp_median,SBP,10.710615691955272,0.4029012643440159,-0.649577394081996,14.623878695636,34.09134615384615,58.74519230769231,75.33413461538461,FAIL*,FAIL (Grade D)*
