Setting,Scope,BP,MAE,R2,ME,STD,within_5_mmHg,within_10_mmHg,within_15_mmHg,AAMI,BHS
QGHuber-hard-only | event hard route,MIMIC,SBP,12.16879485105523,0.5002635738694052,-1.1874504391233236,15.93854500365876,28.08319113683013,51.865865420283406,69.29915671291144,FAIL*,Grade D*
QGHuber-hard-only | event hard route,MIMIC,DBP,7.182047925746697,0.45491034548901044,-0.8294718117601549,9.933327059879382,46.50938496921137,76.24947449118382,89.7334124687786,FAIL*,Grade C*
QGHuber-hard-only | event hard route,VitalDB,SBP,10.36237857057009,0.493206298434548,-0.2690884155972827,13.623876178459225,32.542970471573376,58.1225209343323,76.36403702071397,FAIL*,Grade D*
QGHuber-hard-only | event hard route,VitalDB,DBP,5.967417212360596,0.5411656796874219,-0.2812627477128898,8.01934887999573,52.53856324371971,82.21242838254737,94.18686646099603,FAIL*,Grade B*
QGHuber-hard-only | participant threshold route,Overall,SBP,12.018008604952488,0.48883812726567255,-1.1373533434398406,15.698446324065264,28.26464794716311,51.93889768645475,69.66320342976324,FAIL*,Grade D*
QGHuber-hard-only | participant threshold route,Overall,DBP,7.018670527657206,0.45352776039042175,-0.8073103399800884,9.698943184767472,47.55320381599783,77.02097253872002,90.16260476613495,FAIL*,Grade C*
QGHuber-hard-only | participant threshold route,MIMIC,SBP,12.464089376941693,0.4823754041684223,-1.385390985594879,16.207150562570487,27.124910354378418,50.260899671093306,67.89573905086925,FAIL*,Grade D*
QGHuber-hard-only | participant threshold route,MIMIC,DBP,7.302982894998778,0.4351433732540212,-0.9276388246728844,10.104534650699136,46.19284318816925,75.60155303311323,89.08796399337241,FAIL*,Grade C*
QGHuber-hard-only | participant threshold route,VitalDB,SBP,10.428042260578101,0.48780049793104774,-0.25327241476436396,13.69667393705724,32.327016306743054,57.91978845306303,75.96297928602908,FAIL*,Grade D*
QGHuber-hard-only | participant threshold route,VitalDB,DBP,6.005295543241942,0.5343075463174023,-0.37842334698558955,8.075163941134996,52.40193918025562,82.08021154693698,93.99294843543412,FAIL*,Grade B*
QGHuber-hard-only | participant top30 route,Overall,SBP,11.969533353520225,0.49183819004551244,-1.0969638512477202,15.654950628951179,28.451006141130126,52.25078212506277,69.92680854350932,FAIL*,Grade D*
QGHuber-hard-only | participant top30 route,Overall,DBP,7.018342311788115,0.45518021391641184,-0.8017944405222633,9.684624472986176,47.40353790892588,76.97462438685257,90.304545981229,FAIL*,Grade C*
