Setting,Scope,BP,MAE,R²,ME,STD,≤5 mmHg,≤10 mmHg,≤15 mmHg,AAMI,BHS
conformer | QGH,Overall,DBP,7.188059262054941,0.42296432912441895,-1.0834683710206354,9.899064235516727,46.24735290453847,75.45363949674044,89.51854004899722,FAIL*,FAIL (Grade C)*
conformer_large | Population,Overall,SBP,15.796634987983655,0.1694693997829858,-2.811509336585709,20.144593048648286,21.0802225636341,40.36042021342856,56.64576672341486,FAIL*,FAIL (Grade D)*
conformer_large | Population,Overall,DBP,9.14974763900215,0.16800369295486672,0.3995917407840471,11.950794863314329,34.542000581322924,62.7019059087323,82.14196736287008,FAIL*,FAIL (Grade D)*
conformer_large | QGH,Overall,SBP,13.118130576536968,0.4000100352467748,-2.0276395189895133,17.168562338635816,26.055723954656813,49.1560436822655,66.44209608437487,FAIL*,FAIL (Grade D)*
conformer_large | QGH,Overall,DBP,7.27330383371064,0.40840095203619653,-1.1656416436507595,10.015458855606548,45.717933812232694,75.24498608977287,89.42511315035502,FAIL*,FAIL (Grade C)*
convnext_1d | Population,Overall,SBP,15.270021063318493,0.22551262424239615,-3.1756548482821265,19.383183242049313,21.33870364987751,41.14209193206826,58.15513017481211,FAIL*,FAIL (Grade D)*
convnext_1d | Population,Overall,DBP,8.87537109598661,0.18457390328007928,-0.871692504375652,11.805662827287716,36.73960885271769,65.77565087406055,83.66171158078313,FAIL*,FAIL (Grade D)*
convnext_1d | QGH,Overall,SBP,12.824628141155626,0.42430316020917147,-0.9270305618356404,16.908886827001524,26.901756425694472,49.957438857285226,67.27151932898725,FAIL*,FAIL (Grade D)*
convnext_1d | QGH,Overall,DBP,7.162214237100702,0.4191223393430331,-0.5096285553309864,9.978272528916362,46.52348129385874,76.02458165510942,89.95557031931239,FAIL*,FAIL (Grade C)*
resnet_small | Population,MIMIC,SBP,16.056780416658686,0.1879563387602592,-3.656424178944883,20.278122717726454,20.78711360305487,39.537197638928106,55.77561749559652,FAIL*,FAIL (Grade D)*
resnet_small | Population,MIMIC,DBP,9.115387099846041,0.1523606232373126,-0.9973631099499123,12.094314912739742,35.377085770373654,64.82056660347169,82.85937100829602,FAIL*,FAIL (Grade D)*
resnet_small | QGH,MIMIC,SBP,13.195975805263611,0.41446929580605796,-1.7625932187928157,17.407878640625512,26.520377018541673,49.093084856063356,66.31438828607156,FAIL*,FAIL (Grade D)*
resnet_small | QGH,MIMIC,DBP,7.270069549459938,0.4122078904239176,-0.9054345298506865,10.064890631770279,46.37839000712624,75.02991677087115,89.47870867115755,FAIL*,FAIL (Grade C)*
resnet_depth2 | Population,MIMIC,SBP,16.482604097411226,0.14730441496461388,-5.802879831053772,20.30154210753922,19.868769580358464,38.65246796552512,54.708025762037295,FAIL*,FAIL (Grade D)*
resnet_depth2 | Population,MIMIC,DBP,9.103758342919276,0.1460166605634764,-0.8189654437621778,12.153134326165878,36.20130961504847,65.27503260591881,82.14943595121885,FAIL*,FAIL (Grade D)*
resnet_depth2 | QGH,MIMIC,SBP,13.322819712496385,0.40968832586292414,-2.014703721687182,17.45226717495525,26.6373549540828,48.57542387694459,65.45789466607505,FAIL*,FAIL (Grade D)*
resnet_depth2 | QGH,MIMIC,DBP,7.205698146859303,0.42373437059902863,-1.0467977877411347,9.951053099116635,46.792518790421255,75.4709370336009,89.67770561897463,FAIL*,FAIL (Grade C)*
resnet_wide1p5 | Population,MIMIC,SBP,16.26933481037778,0.18203652888751254,-3.3753724221549284,20.40278709800284,19.69128581608917,38.124050394632455,54.32885590200745,FAIL*,FAIL (Grade D)*
resnet_wide1p5 | Population,MIMIC,DBP,9.106794591598819,0.1629331233742013,-0.12678922281868082,12.058784293373128,35.441625321017035,64.34996571336372,82.50978177564438,FAIL*,FAIL (Grade D)*
resnet_wide1p5 | QGH,MIMIC,SBP,13.29294169228594,0.4118554062996914,-3.1288662855464855,17.254498980862472,25.70422061769728,48.52298549204684,65.81017304667016,FAIL*,FAIL (Grade D)*
resnet_wide1p5 | QGH,MIMIC,DBP,7.149990726059884,0.42404738327594393,-1.6169089173697502,9.871699261842378,47.27925456819007,75.80842510050691,89.93989754346336,FAIL*,FAIL (Grade C)*
inception_time | Population,MIMIC,SBP,16.456045141271584,0.16092974804692906,-4.893485320390099,20.365560132115014,19.293291920455005,37.51092466352036,54.19170935689027,FAIL*,FAIL (Grade D)*
inception_time | Population,MIMIC,DBP,9.146814145184065,0.14749772903652392,-0.31470592344642667,12.16606050823019,35.52229975932126,64.74795960899789,82.23414411143828,FAIL*,FAIL (Grade D)*
inception_time | QGH,MIMIC,SBP,13.278740247506192,0.4204369317484774,-3.504347141182792,17.051107318280987,25.869603216220938,48.15457222379089,65.66495905772256,FAIL*,FAIL (Grade D)*
inception_time | QGH,MIMIC,DBP,7.1225306870009994,0.4287756481663494,-1.7815660788848737,9.801498665739357,47.36530730238124,76.08002904279779,89.96141072701114,FAIL*,FAIL (Grade C)*
inception_time_wide | Population,MIMIC,SBP,16.34767732245551,0.1697289905707393,-2.7007463937724943,20.659327257802744,19.891627337877992,38.32573649039302,54.420286932085574,FAIL*,FAIL (Grade D)*
inception_time_wide | Population,MIMIC,DBP,9.183252681918566,0.14096777000167382,-0.19518277447588328,12.215092093958411,35.85709867828378,63.701881058986466,82.21935379774918,FAIL*,FAIL (Grade D)*
inception_time_wide | QGH,MIMIC,SBP,12.945352463676556,0.4468552492106669,-1.3846559330834716,16.949658616276423,26.96946472510185,49.4830113078671,66.34262433947804,FAIL*,FAIL (Grade D)*
inception_time_wide | QGH,MIMIC,DBP,7.059009342259871,0.4437919507623761,-0.730867547107005,9.803077017157216,47.33303752705955,76.62592607532304,90.1846100063195,FAIL*,FAIL (Grade C)*
patch_transformer | Population,MIMIC,SBP,16.686603483123918,0.14112488510540555,-3.9998999116850107,20.81004547371879,19.42237102174176,37.2944482540707,53.3836203998763,FAIL*,FAIL (Grade D)*
patch_transformer | Population,MIMIC,DBP,9.187932399434414,0.152230821812246,-0.02804515562412852,12.13626650415688,35.42280128541272,63.48002635364984,81.69900367068695,FAIL*,FAIL (Grade D)*
patch_transformer | QGH,MIMIC,SBP,13.374021458987338,0.4174723256452796,-1.234919616808843,17.408212237971874,25.35866510696086,47.619431783039545,64.99536121979752,FAIL*,FAIL (Grade D)*
patch_transformer | QGH,MIMIC,DBP,7.307321421637241,0.41865063499492094,-0.7520440568854504,10.021822114276837,45.388783563927774,75.11059120917537,89.51904589030966,FAIL*,FAIL (Grade C)*
patch_transformer_deep | Population,MIMIC,SBP,16.496706177825068,0.14960119438736608,-4.083355949498042,20.686991141475527,19.714143573608702,38.2343054603149,54.50230594436153,FAIL*,FAIL (Grade D)*
patch_transformer_deep | Population,MIMIC,DBP,9.349005500078068,0.13247804105734762,0.573660274552503,12.263460766891056,34.52731502023584,62.48100789264921,80.9030158794186,FAIL*,FAIL (Grade D)*
patch_transformer_deep | QGH,MIMIC,SBP,13.401494257333415,0.4077929391187496,-1.4416745562011206,17.537196260416835,26.19230096943783,48.451723071544784,64.57854328855902,FAIL*,FAIL (Grade D)*
patch_transformer_deep | QGH,MIMIC,DBP,7.341251478041938,0.40477802747658553,-0.678178995200682,10.146564098058867,45.73433907466419,74.86587874631923,89.14794347411022,FAIL*,FAIL (Grade C)*
patch_transformer_wide | Population,MIMIC,SBP,16.463579301160916,0.1591083117088402,-3.492970606349633,20.674957769829078,19.56489586274589,37.73412394282871,53.980611243327544,FAIL*,FAIL (Grade D)*
patch_transformer_wide | Population,MIMIC,DBP,9.324117698791703,0.14369315467038557,0.9132788122078026,12.16301686715434,34.10915251502561,62.308902424266876,81.48656098315249,FAIL*,FAIL (Grade D)*
patch_transformer_wide | QGH,MIMIC,SBP,13.533376921815817,0.39692865478071115,-1.0912745497119754,17.723462758752532,25.54556088903231,47.55892595431138,64.68745378026972,FAIL*,FAIL (Grade D)*
patch_transformer_wide | QGH,MIMIC,DBP,7.319285792312037,0.41550304380738357,-0.676861040530425,10.054412247272014,45.27449477633012,74.98151210788862,89.47467494924233,FAIL*,FAIL (Grade C)*
patch_transformer_highres | Population,MIMIC,SBP,16.584407658211067,0.16035013935878295,-2.82027402356206,20.76178104751877,18.845548787866566,37.267556774635956,53.34462775469593,FAIL*,FAIL (Grade D)*
patch_transformer_highres | Population,MIMIC,DBP,9.459448526173425,0.12500101949501474,1.2067382967267337,12.270467254913312,33.91822301103895,61.21979750715985,80.2092157100023,FAIL*,FAIL (Grade D)*
patch_transformer_highres | QGH,MIMIC,SBP,13.49611929522225,0.38677532168295403,-2.2874845384765106,17.759166035197534,26.688448765008804,48.58080217283154,65.12309574711253,FAIL*,FAIL (Grade D)*
patch_transformer_highres | QGH,MIMIC,DBP,7.273780190956536,0.4175710080591608,-1.0027138152039907,10.009226748682075,45.49097118577979,75.13075981875143,89.60240947655736,FAIL*,FAIL (Grade C)*
patch_transformer_longpatch | Population,MIMIC,SBP,16.925098311542012,0.10647466516638215,-5.252933028962114,20.96617223942913,19.036478291853225,37.46252000053783,53.504632057332635,FAIL*,FAIL (Grade D)*
patch_transformer_longpatch | Population,MIMIC,DBP,9.3467072932208,0.13901757226725897,0.3853011053562746,12.224440121167131,33.816035389186936,62.72303120756189,81.44622376400038,FAIL*,FAIL (Grade D)*
patch_transformer_longpatch | QGH,MIMIC,SBP,13.955394854713928,0.3604851746161908,-1.0246893572605689,18.256951235286056,25.054791389348285,46.56528578919769,63.37246043591088,FAIL*,FAIL (Grade D)*
patch_transformer_longpatch | QGH,MIMIC,DBP,7.346166920444916,0.4082630732606377,-0.9356795972420077,10.096123159041259,45.41029674747556,74.92504000107566,89.1465989001385,FAIL*,FAIL (Grade C)*
conformer | Population,MIMIC,SBP,16.606077058394227,0.1415301322985415,-2.9792084943429313,20.975455263861498,19.762548236591236,37.7879069016982,53.53152353676738,FAIL*,FAIL (Grade D)*
conformer | Population,MIMIC,DBP,9.41280241415645,0.13884811172309763,1.1900601214539137,12.173683699707546,33.32795503744638,61.69577669315477,80.88419184381429,FAIL*,FAIL (Grade D)*
conformer | QGH,MIMIC,SBP,13.710294932750568,0.3797047704729243,-2.2335623599034835,17.869766621370974,25.88439352991005,47.22412703534885,63.9573501136165,FAIL*,FAIL (Grade D)*
conformer | QGH,MIMIC,DBP,7.393116081772768,0.3988257255443862,-1.1394927589243884,10.156198893535318,45.31617656945397,74.36300808088957,88.66255227031316,FAIL*,FAIL (Grade C)*
conformer_large | Population,MIMIC,SBP,16.710571298033383,0.1282992538189568,-3.7816358200910365,21.011002957117164,19.743724200986918,37.922364298871905,53.651190620251974,FAIL*,FAIL (Grade D)*
conformer_large | Population,MIMIC,DBP,9.363191512253843,0.13653904999227529,0.4952961497673952,12.23808347860599,34.10780794105388,61.62182512470924,81.19882215320075,FAIL*,FAIL (Grade D)*
conformer_large | QGH,MIMIC,SBP,13.744920717059598,0.3835383461376938,-2.1800201376521877,17.82022768008304,24.58284592526858,46.94580022319928,63.98558616702298,FAIL*,FAIL (Grade D)*
conformer_large | QGH,MIMIC,DBP,7.520658898292852,0.3777247852801202,-1.2069440883584441,10.32744593070185,44.48926357683568,74.00131768249231,88.48910222795907,FAIL*,FAIL (Grade C)*
convnext_1d | Population,MIMIC,SBP,16.075453745929842,0.19324088657625516,-4.222068516038369,20.09932297228972,19.987092089871325,38.88911298455084,55.491912387560006,FAIL*,FAIL (Grade D)*
convnext_1d | Population,MIMIC,DBP,9.013409295762425,0.15833959505136297,-1.020267312112626,12.04937614805991,36.814435346160565,65.5358799564358,83.21030481491938,FAIL*,FAIL (Grade D)*
convnext_1d | QGH,MIMIC,SBP,13.479706126384231,0.4044089461169226,-1.4162018583533633,17.589637595986776,25.49715622604978,47.59926317346349,64.64039369125892,FAIL*,FAIL (Grade D)*
convnext_1d | QGH,MIMIC,DBP,7.432764654791524,0.38437865397011306,-0.6014959333280033,10.324487434086564,45.235502131149744,74.5162895136676,88.9543248221801,FAIL*,FAIL (Grade C)*
resnet_small | Population,VitalDB,SBP,12.565714869462772,0.2736031015524626,0.5993155970937364,16.304967875713754,25.86183341682226,48.718065485677855,66.870076050822,FAIL*,FAIL (Grade D)*
resnet_small | Population,VitalDB,DBP,8.321496487558255,0.2535219793847937,-0.2973239618913828,10.899482075247102,37.03265176009837,67.66701580217679,85.72794753859465,FAIL*,FAIL (Grade D)*
