Setting,Scope,scoring_only_group,n_participants,n_events,sbp_mae,dbp_mae,mean_mae,delta_mean_mae_vs_frozen_lora,delta_sbp_mae_vs_frozen_lora,delta_dbp_mae_vs_frozen_lora,split_mode
nearest_record_time_bp,MIMIC,DBP_train_median_deviation_0-10,1011,35229,3.537551942707048,1.7626020212086235,2.650076981957836,-0.2325491577851277,-0.2844236789327392,-0.1806746366375162,random_disjoint
nearest_record_time_bp,VitalDB,DBP_train_median_deviation_0-10,1040,34478,2.145574732000468,1.2730520535079162,1.709313392754192,-0.7648144242124482,-1.045642507013539,-0.4839863414113581,random_disjoint
nearest_record_time_bp,Overall,DBP_train_median_deviation_10-20,1762,10460,3.852832646858446,2.330125337702583,3.0914789922805146,-1.119291359775914,-1.3041510182084854,-0.934431701343343,random_disjoint
nearest_record_time_bp,MIMIC,DBP_train_median_deviation_10-20,791,4282,4.829274243296107,2.9077408572203427,3.868507550258225,-1.3069999292688008,-1.462117807331933,-1.151882051205669,random_disjoint
nearest_record_time_bp,VitalDB,DBP_train_median_deviation_10-20,971,6178,3.057399791264017,1.8595858156237484,2.4584928034438827,-0.9663794355031304,-1.17546746496786,-0.7572914060384,random_disjoint
nearest_record_time_bp,Overall,DBP_train_median_deviation_>20,721,1873,5.770982420347669,4.886145944488378,5.328564182418024,-3.0543369298401952,-2.8622650211048954,-3.246408838575496,random_disjoint
nearest_record_time_bp,MIMIC,DBP_train_median_deviation_>20,319,929,6.938019348641476,6.318957759316155,6.628488553978816,-4.536651790873945,-3.5798429890156944,-5.493460592732196,random_disjoint
nearest_record_time_bp,VitalDB,DBP_train_median_deviation_>20,402,944,4.844900877746365,3.7491634347121088,4.297032156229237,-1.878072152054708,-2.292843698310008,-1.4633006057994078,random_disjoint
time_matched_feature_uniform,Overall,SBP_train_median_deviation_0-10,2051,50195,3.2207420953686103,1.8506032700412365,2.535672682704924,-0.0542841336192685,-0.0550832651451966,-0.0534850020933412,random_disjoint
time_matched_feature_uniform,MIMIC,SBP_train_median_deviation_0-10,1011,25757,3.487286073128592,2.0043186358477296,2.745802354488161,-0.0394052123613377,-0.0288680675271986,-0.0499423571954777,random_disjoint
time_matched_feature_uniform,VitalDB,SBP_train_median_deviation_0-10,1040,24438,2.9616305939115506,1.7011741980889628,2.331402396000257,-0.0687481618805843,-0.0805674620603853,-0.0569288617007837,random_disjoint
time_matched_feature_uniform,Overall,SBP_train_median_deviation_10-20,2029,20839,3.984217882552214,2.1701915813828694,3.0772047319675417,-0.1252995100089196,-0.1734775434072424,-0.0771214766105972,random_disjoint
time_matched_feature_uniform,MIMIC,SBP_train_median_deviation_10-20,991,9707,4.560557106147855,2.419296324897512,3.4899267155226834,-0.1264652858265043,-0.1721129913023196,-0.0808175803506894,random_disjoint
time_matched_feature_uniform,VitalDB,SBP_train_median_deviation_10-20,1038,11132,3.4339749436473213,1.9323661470639764,2.6831705453556487,-0.1241865198015723,-0.1747803094341944,-0.07359273016895,random_disjoint
time_matched_feature_uniform,Overall,SBP_train_median_deviation_>20,1744,11006,5.8485000337449184,2.977313532925574,4.412906783335246,-0.2376865634356093,-0.3588762813783086,-0.1164968454929096,random_disjoint
time_matched_feature_uniform,MIMIC,SBP_train_median_deviation_>20,805,4976,7.210829864032947,3.5429984177293496,5.376914140881148,-0.3378953762373893,-0.5077038082063536,-0.168086944268424,random_disjoint
time_matched_feature_uniform,VitalDB,SBP_train_median_deviation_>20,939,6030,4.680581489142295,2.492354712619888,3.586468100881091,-0.1517780497983003,-0.2312871875587374,-0.0722689120378627,random_disjoint
time_matched_feature_uniform,Overall,DBP_train_median_deviation_0-10,2051,69707,3.3852959429083938,1.8071048916710275,2.5962004172897104,-0.0792885914501444,-0.1168412009494272,-0.0417359819508609,random_disjoint
time_matched_feature_uniform,MIMIC,DBP_train_median_deviation_0-10,1011,35229,3.733737953281123,1.9200472893524223,2.8268926213167727,-0.0557335184261909,-0.0882376683586638,-0.0232293684937177,random_disjoint
time_matched_feature_uniform,VitalDB,DBP_train_median_deviation_0-10,1040,34478,3.04657010397875,1.697311849309594,2.371940976644172,-0.1021868403224681,-0.1446471350352567,-0.0597265456096802,random_disjoint
