Setting,Scope,n_participants,n_events,sbp_mae,dbp_mae,mean_mae,sbp_rmse,dbp_rmse,sbp_bias,dbp_bias,split_mode
past_gap0__feature_knn,MIMIC,1011,40440,4.204294711982753,2.3026801745769823,3.2534874432798677,5.888382482359291,3.466356028048228,0.0915412230047683,-0.0845868609603215,random_disjoint
past_gap0__feature_knn,VitalDB,1040,41600,3.679138285766275,2.0936155578905438,2.886376921828409,5.187721627144657,3.058144159476328,0.1705736716121088,0.077117755937209,random_disjoint
past_gap0__nearest_record_time_bp,Overall,2051,82040,3.5943761435675654,1.9783262166786288,2.786351180123097,5.45731105291854,3.1166540550583526,-0.0029991987564109,-0.0139844978803079,random_disjoint
past_gap0__nearest_record_time_bp,MIMIC,1011,40440,4.280885013746343,2.236543465320953,3.2587142395336475,6.276428466830632,3.4246169304331984,0.0255085431031963,-0.0421548668402003,random_disjoint
past_gap0__nearest_record_time_bp,VitalDB,1040,41600,2.9270103091918505,1.727309256700369,2.3271597829461097,4.661034413048226,2.8172786060160755,-0.0307120131987791,0.0134003511758951,random_disjoint
past_gap0__time_matched_feature_uniform,Overall,2051,82040,4.203246031360821,2.342506324936854,3.2728761781488376,5.904579063809915,3.458893915553424,0.1086064423775451,-0.0225770139973201,random_disjoint
past_gap0__time_matched_feature_uniform,MIMIC,1011,40440,4.398843867512296,2.405040644208001,3.4019422558601486,6.135211432462586,3.584229185662687,0.0842057436557245,-0.1014937204376054,random_disjoint
past_gap0__time_matched_feature_uniform,VitalDB,1040,41600,4.013102365640493,2.281715751106922,3.147409058373708,5.680377790052367,3.337053571245284,0.132326737000392,0.0541391304364571,random_disjoint
past_gap0__time_stratum_random_uniform,Overall,2051,82040,7.9277531851680605,4.243195706341454,6.085474445754757,10.532005523451287,5.774087423823704,-0.0160319320868422,-0.0361801066670633,random_disjoint
past_gap0__time_stratum_random_uniform,MIMIC,1011,40440,6.349297296918347,3.2927875657227816,4.821042431320564,8.562775903336123,4.641975888716803,0.1746824998412241,-0.0095430132897034,random_disjoint
past_gap0__time_stratum_random_uniform,VitalDB,1040,41600,9.46219443807235,5.167102081500567,7.314648259786459,12.44632393300555,6.874630464201662,-0.2014283654322991,-0.0620744349406315,random_disjoint
past_gap60__fixed_blend,Overall,2051,82040,3.978883743286133,2.2133114337921143,3.096097946166992,5.437602996826172,3.17954421043396,0.1166732683777809,-0.0222716871649026,random_disjoint
past_gap60__fixed_blend,MIMIC,1011,40440,4.113722801208496,2.260775566101074,3.187248945236206,5.7020583152771,3.3650527000427246,0.0678465962409973,-0.1028812602162361,random_disjoint
past_gap60__fixed_blend,VitalDB,1040,41600,3.8478055000305176,2.1671714782714844,3.007488489151001,5.180521488189697,2.999208450317383,0.1641384065151214,0.0560901202261447,random_disjoint
past_gap60__trained_blend,Overall,2051,82040,3.978883743286133,2.2133114337921143,3.096097946166992,5.437602996826172,3.17954421043396,0.1166732683777809,-0.0222716871649026,random_disjoint
past_gap60__trained_blend,MIMIC,1011,40440,4.113722801208496,2.260775566101074,3.187248945236206,5.7020583152771,3.3650527000427246,0.0678465962409973,-0.1028812602162361,random_disjoint
past_gap60__trained_blend,VitalDB,1040,41600,3.8478055000305176,2.1671714782714844,3.007488489151001,5.180521488189697,2.999208450317383,0.1641384065151214,0.0560901202261447,random_disjoint
past_gap60__D0_frozen_lora,Overall,2051,82040,3.6913129355720287,2.0688831023505,2.880098018961264,5.090222564139503,2.981832033817168,0.0225152574359702,-0.1182625809510936,random_disjoint
past_gap60__D0_frozen_lora,MIMIC,1011,40440,4.043434272251073,2.245703064133694,3.1445686681923832,5.606288107290894,3.314435249209459,0.0468497080571809,-0.1874385746249341,random_disjoint
past_gap60__D0_frozen_lora,VitalDB,1040,41600,3.3490103669349964,1.896993697193953,2.6230020320644747,4.588547310172142,2.658503331161778,-0.0011406363890721,-0.0510155332546967,random_disjoint
