candidate,runner,backbone,split_mode,seed,Scope,n_participants,n_events,sbp_mae,dbp_mae,mean_mae,sbp_bias,dbp_bias,worst_30_mean_mae,retained_70_mean_mae
inception_time_wide,population_regression,inception_time_wide,random_disjoint,20260828,MIMIC,1011,40440,8.262927055358887,4.726775169372559,6.494851112365723,0.0760489627718925,-0.2962021231651306,9.76316738128662,5.089521408081055
self_attention_resunet_adaptation,population_regression,self_attention_resunet_adaptation,random_disjoint,20260828,MIMIC,1011,40440,8.923062324523926,5.204518795013428,7.063790321350098,-0.1461505442857742,-0.1148956269025802,10.457242012023926,5.604654788970947
runet_resunet_encoder_adaptation,population_regression,runet_resunet_encoder_adaptation,random_disjoint,20260828,MIMIC,1011,40440,9.520068168640137,5.518764495849609,7.519416332244873,-0.909826397895813,-0.6421639919281006,11.226676940917969,5.925346851348877
subject_train_mean,analysis_baseline,,random_disjoint,20260828,MIMIC,1011,40440,9.972672898218766,5.220253947298642,7.596463422758704,0.084294484074047,-0.0190466726190547,11.534255647308314,5.903268463404983
compact_resnet,population_regression,resnet_small,random_disjoint,20260828,MIMIC,1011,40440,9.719165802001951,5.627171516418457,7.673168182373047,-0.7159221768379211,-0.622072160243988,11.307440757751465,6.110482692718506
patch_transformer,population_regression,patch_transformer,random_disjoint,20260828,MIMIC,1011,40440,9.783421516418455,5.606394767761231,7.694907665252685,0.4780035614967346,-0.7810889482498169,11.378711700439451,6.110924243927002
cnn_bilstm_adaptation,population_regression,cnn_bilstm_adaptation,random_disjoint,20260828,MIMIC,1011,40440,10.722159385681152,6.173830509185791,8.447996139526367,0.0555732883512973,-0.4839040338993072,12.50879192352295,6.701910018920898
cnn_transformer_aff_adaptation,population_regression,cnn_transformer_aff_adaptation,random_disjoint,20260828,MIMIC,1011,40440,11.510767936706545,6.587941646575928,9.049354553222656,-0.8058885335922241,-0.6085675358772278,13.39046859741211,7.182737827301025
subject_mean_residual_ppg,subject_mean_residual,resnet_small,random_disjoint,20260828,Overall,2051,82040,7.648508071899414,4.16933536529541,5.90892219543457,0.2882046997547149,-0.0133769251406192,8.297141075134277,4.883735179901123
inception_time_wide,population_regression,inception_time_wide,random_disjoint,20260828,Overall,2051,82040,8.210865020751953,4.956966400146484,6.583915710449219,0.1079495251178741,-0.19362872838974,9.712145805358888,5.241065502166748
